t,lat,lon,z,TOP_az,TOP_dist,TOP_inc,JDNA_az,JDNA_dist,JDNA_inc,JDNB_az,JDNB_dist,JDNB_inc,JDSA_az,JDSA_dist,JDSA_inc,JDSB_az,JDSB_dist,JDSB_inc,QST_az,QST_dist,QST_inc,CHKB_az,CHKB_dist,CHKB_inc,VPT_az,VPT_dist,VPT_inc
2023-10-06T15:59:55.010000Z,43.153831,-116.761911,1586.0,46.79014181579282,4562.245874747447,[93.10452046],31.624026367508307,3674.0931630042414,[91.17698799],33.48303090864409,3782.236274566432,[91.37273532],28.452195582492006,4041.9938459723307,[91.06630718],30.63036517248294,4165.018690598031,[91.6984212],189.6060427554481,5728.711419040441,[86.18674441],207.69215019684646,17869.54850772914,[87.74366278],341.48504195592903,3801.062020213294,[93.16980016]
2023-10-06T15:59:55.010000Z,43.153831,-116.761911,1586.0,46.79014181579282,4562.245874747447,[93.10452046],31.624026367508307,3674.0931630042414,[91.17698799],33.48303090864409,3782.236274566432,[91.37273532],28.452195582492006,4041.9938459723307,[91.06630718],30.63036517248294,4165.018690598031,[91.6984212],189.6060427554481,5728.711419040441,[86.18674441],207.69215019684646,17869.54850772914,[87.74366278],341.48504195592903,3801.062020213294,[93.16980016]
2023-10-06T16:00:00.440000Z,43.151411,-116.762761,1563.0,48.75836868384233,4330.405852742221,[93.57360677],33.00487679952926,3409.92509157464,[91.65434914],34.95970084925812,3521.054670275877,[91.84846516],29.475312529207688,3773.2966320283635,[91.49127864],31.770251240905655,3899.249095570791,[92.15166696],189.8287706527686,6005.372554214501,[86.58053966],207.49192615081856,18139.92366164459,[87.84980025],339.0621468683807,3571.301065773555,[93.74085001]
2023-10-06T16:00:04.790000Z,43.149536,-116.76359,1570.0,50.31079799055309,4143.953429963299,[93.63756746],34.02531692514451,3199.0275192646977,[91.63808411],36.06950111398669,3312.3390295352797,[91.84390124],30.181235323232187,3559.055446865885,[91.46839317],32.58471235663418,3687.0397159645445,[92.16676555],190.11347133842938,6222.202494053525,[86.63519197],207.37932559014783,18355.913964410654,[87.85325857],336.7477190712612,3403.6515023391266,[93.80724655]
2023-10-06T16:00:07.650000Z,43.148163,-116.764292,1586.0,51.469774362470915,4003.4558933523303,[93.53680701],34.742566531549976,3040.903919995981,[91.42197321],36.86284471390444,3155.7393072092373,[91.64512189],30.642553520251578,3398.6080088852896,[91.26810767],33.138157740955194,3527.93646017667,[92.00489452],190.3779165027539,6382.457099121483,[86.57634871],207.3197966749932,18517.65632931137,[87.82255596],334.78334604817724,3288.004951086247,[93.66315647]
2023-10-06T16:00:09.000000Z,43.147659,-116.764675,1586.0,51.824525558341435,3944.2915247592177,[93.58972141],34.86428491215621,2977.14724858658,[91.45241237],37.02369005176557,3092.265955324873,[91.67887133],30.67261381819535,3334.5560689976096,[91.29245797],33.213228567355756,3464.0240920571623,[92.04185445],190.56083022222214,6443.174922824626,[86.60853612],207.32615546214677,18581.69953618835,[87.83005349],333.8660068092664,3251.049545267955,[93.70468107]
2023-10-06T16:00:13.240000Z,43.146011,-116.765834,1601.0,53.13183707427296,3758.0320333713903,[93.53937417],35.429355481583976,2773.171464474273,[91.24946686],37.71822007125367,2889.543889416478,[91.49939822],30.898889130567486,3129.0167264027123,[91.10278793],33.590537364102325,3259.2814622077053,[91.90664638],191.07129761083337,6640.691741538871,[86.58020837],207.32607255523678,18787.634363641417,[87.80813705],330.8410150461302,3132.6102709553597,[93.57113329]
2023-10-06T16:00:20.360000Z,43.143031,-116.768254,1609.0,55.6042980235385,3405.137373909192,[93.77109172],36.18685296486631,2389.502505484222,[91.25828934],38.78998120088149,2507.673822746175,[91.54496201],30.923306568460653,2743.843335196606,[91.09056532],33.97456203409313,2874.65280897208,[92.00228756],192.1322807693915,7004.574056460579,[86.69224998],207.39604427070662,19172.11179472385,[87.82817705],324.37265235685487,2958.3324919896936,[93.62662425]
2023-10-06T16:00:23.380000Z,43.141867,-116.7693,1616.0,56.635139938576714,3262.422114633077,[93.81317615],36.384305254897896,2234.9060137341003,[91.16592769],39.148312060670634,2353.619778701275,[91.47575294],30.779158115723614,2589.187165849305,[91.00084219],34.01105475133244,2719.861574382155,[91.96886733],192.5814769318351,7149.092498168251,[86.70305346],207.44421631447577,19326.064986109744,[87.82473841],321.52270451411835,2906.4228500073837,[93.55377582]
2023-10-06T16:00:29.690000Z,43.139307,-116.771327,1639.0,59.46932233415847,2971.9735638789653,[93.7432807],37.4654279940341,1908.4686429270455,[90.6750103],40.608875257514825,2029.6198975214925,[91.06230707],30.878512212141814,2260.458808797194,[90.56350832],34.54895753219322,2391.979699118027,[91.6882181],193.3420729868961,7463.222475062085,[86.66552964],207.48999507204303,19654.45110973274,[87.79409636],315.2539924286207,2803.227006627281,[93.21585081]
